turn_id,pause_index,p_eot
en__000,0,0.14
en__000,1,0.1
en__000,2,0.14
en__000,3,0.72
en__001,0,0.2
en__001,1,0.78
en__002,0,0.13
en__002,1,0.13
en__002,2,0.23
en__002,3,0.11
en__002,4,0.12
en__002,5,0.18
en__002,6,0.77
en__003,0,0.83
en__004,0,0.18
en__004,1,0.83
en__005,0,0.09
en__005,1,0.73
en__006,0,0.2
en__006,1,0.09
en__006,2,0.72
en__007,0,0.1
en__007,1,0.08
en__007,2,0.11
en__007,3,0.05
en__007,4,0.13
en__007,5,0.1
en__007,6,0.7
en__008,0,0.15
en__008,1,0.15
en__008,2,0.23
en__008,3,0.81
en__009,0,0.76
en__010,0,0.14
en__010,1,0.71
en__011,0,0.79
en__012,0,0.14
en__012,1,0.08
en__012,2,0.72
en__013,0,0.82
en__014,0,0.16
en__014,1,0.79
en__015,0,0.09
en__015,1,0.77
en__016,0,0.21
en__016,1,0.24
en__016,2,0.85
en__017,0,0.24
en__017,1,0.87
en__018,0,0.1
en__018,1,0.15
en__018,2,0.15
en__018,3,0.2
en__018,4,0.13
en__018,5,0.68
en__019,0,0.81
en__020,0,0.16
en__020,1,0.19
en__020,2,0.85
en__021,0,0.87
en__022,0,0.24
en__022,1,0.82
en__023,0,0.1
en__023,1,0.2
en__023,2,0.83
en__024,0,0.12
en__024,1,0.19
en__024,2,0.76
en__025,0,0.8
en__026,0,0.8
en__027,0,0.27
en__027,1,0.79
en__028,0,0.17
en__028,1,0.84
en__029,0,0.16
en__029,1,0.19
en__029,2,0.83
en__030,0,0.13
en__030,1,0.17
en__030,2,0.15
en__030,3,0.16
en__030,4,0.74
en__031,0,0.75
en__032,0,0.17
en__032,1,0.75
en__033,0,0.78
en__034,0,0.27
en__034,1,0.87
en__035,0,0.13
en__035,1,0.17
en__035,2,0.83
en__036,0,0.14
en__036,1,0.09
en__036,2,0.71
en__037,0,0.2
en__037,1,0.12
en__037,2,0.19
en__037,3,0.77
en__038,0,0.17
en__038,1,0.15
en__038,2,0.12
en__038,3,0.85
en__039,0,0.13
en__039,1,0.12
en__039,2,0.73
en__040,0,0.79
en__041,0,0.84
en__042,0,0.19
en__042,1,0.11
en__042,2,0.16
en__042,3,0.18
en__042,4,0.76
en__043,0,0.79
en__044,0,0.13
en__044,1,0.21
en__044,2,0.76
en__045,0,0.13
en__045,1,0.73
en__046,0,0.07
en__046,1,0.12
en__046,2,0.68
en__047,0,0.75
en__048,0,0.15
en__048,1,0.78
en__049,0,0.08
en__049,1,0.07
en__049,2,0.17
en__049,3,0.11
en__049,4,0.77
en__050,0,0.78
en__051,0,0.16
en__051,1,0.19
en__051,2,0.84
en__052,0,0.11
en__052,1,0.23
en__052,2,0.81
en__053,0,0.13
en__053,1,0.84
en__054,0,0.21
en__054,1,0.8
en__055,0,0.81
en__056,0,0.81
en__057,0,0.77
en__058,0,0.79
en__059,0,0.08
en__059,1,0.16
en__059,2,0.63
en__060,0,0.23
en__060,1,0.8
en__061,0,0.26
en__061,1,0.18
en__061,2,0.74
en__062,0,0.84
en__063,0,0.25
en__063,1,0.75
en__064,0,0.24
en__064,1,0.79
en__065,0,0.2
en__065,1,0.19
en__065,2,0.79
en__066,0,0.16
en__066,1,0.74
en__067,0,0.16
en__067,1,0.16
en__067,2,0.79
en__068,0,0.09
en__068,1,0.11
en__068,2,0.81
en__069,0,0.16
en__069,1,0.83
en__070,0,0.12
en__070,1,0.21
en__070,2,0.17
en__070,3,0.12
en__070,4,0.17
en__070,5,0.11
en__070,6,0.72
en__071,0,0.82
en__072,0,0.82
en__073,0,0.24
en__073,1,0.75
en__074,0,0.81
en__075,0,0.85
en__076,0,0.82
en__077,0,0.05
en__077,1,0.18
en__077,2,0.74
en__078,0,0.72
en__079,0,0.13
en__079,1,0.83
en__080,0,0.18
en__080,1,0.13
en__080,2,0.09
en__080,3,0.22
en__080,4,0.05
en__080,5,0.74
en__081,0,0.14
en__081,1,0.1
en__081,2,0.12
en__081,3,0.18
en__081,4,0.76
en__082,0,0.17
en__082,1,0.79
en__083,0,0.11
en__083,1,0.15
en__083,2,0.8
en__084,0,0.74
en__085,0,0.72
en__086,0,0.16
en__086,1,0.15
en__086,2,0.81
en__087,0,0.81
en__088,0,0.18
en__088,1,0.79
en__089,0,0.24
en__089,1,0.72
en__090,0,0.17
en__090,1,0.16
en__090,2,0.2
en__090,3,0.89
en__091,0,0.21
en__091,1,0.14
en__091,2,0.13
en__091,3,0.14
en__091,4,0.19
en__091,5,0.14
en__091,6,0.2
en__091,7,0.86
en__092,0,0.16
en__092,1,0.75
en__093,0,0.17
en__093,1,0.11
en__093,2,0.2
en__093,3,0.1
en__093,4,0.73
en__094,0,0.11
en__094,1,0.74
en__095,0,0.13
en__095,1,0.11
en__095,2,0.11
en__095,3,0.08
en__095,4,0.08
en__095,5,0.8
en__096,0,0.86
en__097,0,0.17
en__097,1,0.65
en__098,0,0.83
en__099,0,0.81
